"Player","Team","ATT","YDS","TDS","REC","YDS","TDS","FL","FPTS"
"Ty Johnson","NYJ","9.2","43.9","0.2","1.8","12.4","0.0","0.1","7.9"
"","high","11.9","69.2","0.3","2.4","20.4","0.1","0.0","8.6"
"","low","6.6","29.1","0.1","1.3","5.0","0.0","0.1","6.4"
"Jamaal Williams","GB","8.9","32.9","0.2","2.3","16.3","0.1","0.0","7.7"
"","high","10.4","40.5","0.3","3.7","20.1","0.1","0.0","9.0"
"","low","7.7","22.7","0.1","1.6","11.8","0.0","0.1","5.9"
"Leonard Fournette","TB","9.1","31.3","0.2","2.4","16.8","0.1","0.0","7.6"
"","high","15.6","49.2","0.3","3.0","19.1","0.1","0.0","8.3"
"","low","6.5","25.0","0.1","1.8","12.4","0.0","0.1","6.8"
"Zack Moss","BUF","9.9","37.5","0.3","1.5","10.5","0.1","0.1","7.4"
"","high","12.6","51.3","0.3","2.8","15.8","0.1","0.0","7.8"
"","low","8.4","29.9","0.2","0.6","5.0","0.0","0.1","6.1"
"Duke Johnson Jr.","HOU","4.9","20.6","0.1","3.1","27.1","0.1","0.1","7.3"
"","high","6.4","25.2","0.2","3.6","31.4","0.2","0.0","8.2"
"","low","2.5","10.1","0.0","2.2","18.1","0.0","0.1","6.8"
"Phillip Lindsay","DEN","10.8","45.8","0.2","1.4","7.3","0.0","0.0","7.0"
"","high","11.8","52.2","0.3","2.6","9.4","0.1","0.0","8.2"
"","low","9.7","27.8","0.0","0.6","4.4","0.0","0.1","4.8"
"James White","NE","3.8","12.8","0.1","3.6","27.5","0.1","0.0","6.7"
"","high","4.8","18.6","0.2","5.2","42.0","0.1","0.0","7.4"
"","low","1.9","6.8","0.0","2.8","21.4","0.0","0.1","5.5"
"Le'Veon Bell","KC","8.9","32.8","0.1","1.9","12.9","0.0","0.1","6.5"
"","high","13.0","43.9","0.2","3.9","21.2","0.1","0.0","7.0"
"","low","6.2","24.4","0.0","1.2","9.4","0.0","0.1","5.5"
"Adrian Peterson","DET","11.0","39.2","0.2","0.8","6.0","0.0","0.1","6.4"
"","high","15.7","58.9","0.4","1.7","9.8","0.0","0.0","7.5"
"","low","8.7","21.7","0.1","0.3","2.2","0.0","0.1","4.2"
"Darrell Henderson","LAR","8.1","33.3","0.2","1.2","9.8","0.0","0.0","6.3"
"","high","10.1","48.4","0.3","1.8","13.1","0.1","0.0","7.1"
"","low","6.5","21.3","0.0","0.7","6.8","0.0","0.1","4.7"
"Tony Pollard","DAL","7.6","34.9","0.1","1.6","9.9","0.0","0.1","6.2"
"","high","9.5","45.5","0.2","2.7","12.4","0.1","0.0","7.1"
"","low","5.8","25.4","0.0","1.2","7.9","0.0","0.1","5.5"
"Cordarrelle Patterson","CHI","5.9","28.0","0.2","1.4","12.9","0.1","0.0","6.1"
"","high","6.7","33.0","0.2","1.5","14.6","0.1","0.0","6.9"
"","low","5.0","23.1","0.2","1.2","11.2","0.1","0.0","5.3"
"Kalen Ballage","LAC","7.4","26.6","0.2","2.1","14.1","0.0","0.1","6.1"
"","high","11.7","35.9","0.3","3.2","21.4","0.1","0.0","8.0"
"","low","2.7","10.6","0.0","0.4","2.6","0.0","0.1","2.9"
"Mike Davis","CAR","7.1","24.7","0.1","2.3","13.9","0.1","0.0","6.1"
"","high","10.0","39.6","0.3","3.5","23.5","0.2","0.0","10.3"
"","low","1.6","6.4","0.0","1.4","9.0","0.0","0.1","3.2"
"Frank Gore","NYJ","8.5","34.6","0.2","1.2","7.7","0.0","0.0","5.9"
"","high","13.7","55.3","0.4","1.7","12.6","0.1","0.0","9.8"
"","low","5.5","15.3","0.0","0.5","3.7","0.0","0.1","3.2"
"Carlos Hyde","SEA","8.0","29.8","0.2","1.5","8.5","0.0","0.1","5.7"
"","high","14.3","50.9","0.3","2.5","10.9","0.1","0.0","6.3"
"","low","4.2","15.9","0.0","0.9","4.8","0.0","0.1","4.8"
"Benny Snell Jr.","PIT","8.1","34.2","0.2","1.1","4.5","0.0","0.1","5.5"
"","high","14.6","55.1","0.5","2.7","7.9","0.0","0.0","9.6"
"","low","3.5","14.4","0.0","0.3","1.8","0.0","0.2","3.1"
"Justin Jackson","LAC","7.4","30.7","0.2","0.9","6.4","0.0","0.0","5.5"
"","high","7.4","30.7","0.2","0.9","6.4","0.0","0.0","5.5"
"","low","7.4","30.7","0.2","0.9","6.4","0.0","0.0","5.5"
"Jeff Wilson Jr.","SF","7.2","27.5","0.2","1.3","8.7","0.1","0.1","5.4"
"","high","7.9","30.3","0.3","2.2","13.5","0.1","0.1","6.6"
"","low","6.5","21.5","0.0","0.5","5.2","0.0","0.2","4.7"
"Ito Smith","ATL","6.2","25.7","0.1","1.5","9.0","0.0","0.0","5.2"
"","high","7.4","29.5","0.2","2.7","15.1","0.1","0.0","5.9"
"","low","4.8","21.2","0.0","0.7","3.1","0.0","0.1","4.4"
"Malcolm Brown","LAR","5.9","22.9","0.2","1.4","10.4","0.0","0.0","5.0"
"","high","9.5","38.5","0.3","1.8","12.4","0.1","0.0","6.6"
"","low","3.3","13.5","0.0","1.1","7.8","0.0","0.1","3.9"
"Gus Edwards","BAL","7.5","35.1","0.1","0.7","3.8","0.0","0.1","4.9"
"","high","10.6","53.0","0.2","1.3","5.1","0.0","0.0","5.7"
"","low","4.4","19.0","0.0","0.3","3.1","0.0","0.1","3.7"
"Jordan Wilkins","IND","6.1","28.2","0.2","1.0","6.5","0.0","0.0","4.9"
"","high","9.0","38.8","0.2","1.4","10.9","0.1","0.0","5.9"
"","low","4.9","21.7","0.0","0.5","3.6","0.0","0.1","4.7"
"Peyton Barber","WAS","9.7","31.4","0.2","0.8","3.5","0.0","0.1","4.9"
"","high","14.6","49.3","0.3","2.5","7.6","0.0","0.0","5.7"
"","low","4.4","15.4","0.0","0.3","1.7","0.0","0.1","3.2"
"Brian Hill","ATL","6.2","28.8","0.1","1.1","7.0","0.0","0.1","4.8"
"","high","8.8","42.1","0.2","1.7","10.4","0.0","0.0","7.0"
"","low","4.5","20.6","0.0","0.7","4.6","0.0","0.1","3.8"
"Kerryon Johnson","DET","5.3","20.7","0.1","1.5","11.3","0.0","0.1","4.6"
"","high","9.7","36.9","0.1","2.4","14.6","0.1","0.0","5.1"
"","low","1.8","7.8","0.0","0.8","6.9","0.0","0.1","2.8"
"DeAndre Washington","MIA","0.0","14.4","0.1","1.6","13.5","0.1","0.0","4.5"
"","high","0.0","14.4","0.1","1.6","13.5","0.1","0.0","4.6"
"","low","0.0","14.4","0.1","1.6","13.5","0.1","0.0","4.6"
