"Player","Team","ATT","CMP","YDS","TDS","INTS","ATT","YDS","TDS","FL","FPTS"
"","low","1.2","0.8","8.9","0.0","0.1","0.1","0.1","0.0","0.0","0.5"
"C.J. Beathard","SF","0.9","0.6","11.3","0.0","0.0","0.1","0.1","0.0","0.0","0.6"
"","high","0.9","0.6","15.8","0.1","0.0","0.1","0.2","0.0","0.0","0.9"
"","low","0.9","0.6","6.8","0.0","0.1","0.1","0.0","0.0","0.0","0.3"
"Brett Rypien","DEN","1.3","0.7","8.1","0.1","0.1","0.3","0.3","0.0","0.0","0.6"
"","high","1.3","0.7","8.1","0.1","0.1","0.3","0.3","0.0","0.0","0.6"
"","low","1.3","0.7","8.1","0.1","0.1","0.3","0.3","0.0","0.0","0.6"
"Joe Flacco","NYJ","1.3","0.8","9.0","0.1","0.1","0.2","0.5","0.0","0.0","0.5"
"","high","1.3","0.8","9.2","0.1","0.0","0.2","0.9","0.0","0.0","0.6"
"","low","1.3","0.8","8.7","0.0","0.1","0.2","0.0","0.0","0.0","0.5"
"Brett Hundley","ARI","1.4","0.9","8.8","0.0","0.0","0.3","1.2","0.0","0.0","0.5"
"","high","1.4","0.9","8.8","0.0","0.0","0.3","1.2","0.0","0.0","0.5"
"","low","1.4","0.9","8.8","0.0","0.0","0.3","1.2","0.0","0.0","0.5"
"Sean Mannion","MIN","1.2","0.8","9.7","0.0","0.0","0.3","0.2","0.0","0.0","0.5"
"","high","1.2","0.8","9.8","0.0","0.0","0.3","0.3","0.0","0.0","0.5"
"","low","1.2","0.8","9.7","0.0","0.1","0.3","0.0","0.0","0.0","0.4"
"AJ McCarron","HOU","1.3","0.9","11.1","0.0","0.0","0.1","0.1","0.0","0.0","0.5"
"","high","1.3","0.9","11.1","0.0","0.0","0.1","0.2","0.0","0.0","0.5"
"","low","1.3","0.9","11.0","0.0","0.1","0.1","0.0","0.0","0.0","0.5"
"Dwayne Haskins","WAS","1.3","0.8","11.6","0.0","0.1","0.2","0.4","0.0","0.0","0.4"
"","high","1.3","0.8","15.1","0.1","0.1","0.2","0.7","0.0","0.0","0.6"
"","low","1.3","0.8","8.2","0.0","0.2","0.2","0.0","0.0","0.0","0.2"
