"Player","Team","ATT","YDS","TDS","REC","YDS","TDS","FL","FPTS"
"Tony Pollard","DAL","8.0","31.2","0.1","1.6","11.4","0.0","0.0","6.6"
"","high","11.6","45.8","0.2","2.8","14.3","0.1","0.0","8.6"
"","low","1.7","8.0","0.0","1.0","7.0","0.0","0.1","3.4"
"Alexander Mattison","MIN","6.5","29.2","0.1","1.3","8.1","0.0","0.0","6.0"
"","high","8.3","37.6","0.2","2.3","10.5","0.1","0.0","7.5"
"","low","4.0","18.0","0.0","1.0","6.0","0.0","0.1","3.7"
"Reggie Bonnafon","CAR","3.9","24.0","0.2","0.8","9.0","0.1","0.0","5.9"
"","high","3.9","24.0","0.2","0.8","9.0","0.1","0.0","5.6"
"","low","3.9","24.0","0.2","0.8","9.0","0.1","0.0","5.6"
"Patrick Laird","MIA","5.3","18.7","0.1","2.0","14.0","0.0","0.0","5.8"
"","high","9.3","33.7","0.2","3.5","27.0","0.1","0.0","7.8"
"","low","0.0","0.0","0.0","0.2","2.0","0.0","0.1","2.2"
"Cordarrelle Patterson","CHI","3.0","14.2","0.1","1.8","15.8","0.1","0.0","5.7"
"","high","3.0","14.2","0.1","1.8","15.8","0.1","0.0","5.7"
"","low","3.0","14.2","0.1","1.8","15.8","0.1","0.0","5.7"
"Chris Thompson","JAC","2.3","9.5","0.0","2.3","18.4","0.1","0.0","5.6"
"","high","3.4","11.9","0.1","3.0","23.3","0.1","0.0","6.5"
"","low","1.2","5.0","0.0","1.9","15.0","0.0","0.1","5.0"
"Jordan Wilkins","IND","7.1","33.5","0.1","0.7","4.6","0.0","0.0","5.2"
"","high","9.8","46.8","0.2","1.4","7.6","0.0","0.0","6.6"
"","low","5.8","23.0","0.0","0.3","3.1","0.0","0.1","4.5"
"Jalen Richard","LV","2.6","11.4","0.1","1.9","13.7","0.0","0.0","4.9"
"","high","3.5","19.8","0.2","3.0","16.2","0.1","0.0","6.1"
"","low","1.0","4.0","0.0","1.4","10.7","0.0","0.1","4.2"
"Travis Homer","SEA","4.4","18.0","0.1","1.7","7.6","0.1","0.0","4.9"
"","high","5.0","29.8","0.1","4.9","13.4","0.2","0.0","5.8"
"","low","3.3","11.4","0.0","0.6","2.2","0.0","0.1","3.7"
