"Player","Team","REC","YDS","TDS","ATT","YDS","TDS","FL","FPTS"
"","high","5.4","68.9","0.4","0.0","0.1","0.0","0.0","8.5"
"","low","4.5","48.5","0.2","0.0","0.0","0.0","0.1","6.5"
"JuJu Smith-Schuster","PIT","5.5","56.9","0.4","0.0","0.1","0.0","0.0","7.7"
"","high","6.1","65.2","0.5","0.0","0.2","0.0","0.0","9.1"
"","low","5.2","46.3","0.3","0.0","0.0","0.0","0.1","6.4"
"Mike Williams","LAC","3.4","57.6","0.3","0.1","0.4","0.0","0.0","7.7"
"","high","3.8","62.7","0.4","0.2","0.7","0.0","0.0","8.6"
"","low","3.1","48.1","0.2","0.1","0.2","0.0","0.0","6.5"
"Tyler Boyd","CIN","4.8","58.2","0.3","0.2","1.6","0.0","0.0","7.6"
"","high","5.7","66.9","0.4","0.3","2.8","0.0","0.0","8.2"
"","low","4.2","53.2","0.1","0.2","0.7","0.0","0.1","7.4"
"T.Y. Hilton","IND","4.1","58.3","0.3","0.0","0.0","0.0","0.0","7.5"
"","high","4.6","69.2","0.3","0.0","0.2","0.0","0.0","7.8"
"","low","3.7","52.6","0.2","0.0","0.0","0.0","0.0","6.7"
"Keke Coutee","HOU","5.1","59.3","0.3","0.2","0.4","0.0","0.1","7.4"
"","high","6.3","69.6","0.3","0.4","1.1","0.1","0.0","7.9"
"","low","4.6","52.4","0.1","0.0","0.0","0.0","0.2","6.9"
"Tim Patrick","DEN","3.9","54.3","0.3","0.0","0.3","0.0","0.0","7.4"
"","high","4.5","64.4","0.6","0.1","0.8","0.0","0.0","9.2"
"","low","3.5","47.3","0.1","0.0","0.0","0.0","0.1","6.1"
"Allen Lazard","GB","3.5","51.2","0.3","0.2","1.5","0.0","0.0","7.3"
"","high","4.0","60.2","0.4","0.2","2.1","0.0","0.0","8.6"
"","low","2.9","42.3","0.2","0.1","0.4","0.0","0.0","6.6"
"Nelson Agholor","LV","3.9","50.7","0.3","0.1","0.6","0.0","0.0","7.0"
"","high","4.9","57.8","0.4","0.2","1.6","0.0","0.0","7.4"
"","low","3.2","43.4","0.1","0.0","0.0","0.0","0.0","6.8"
"Sterling Shepard","NYG","5.1","53.8","0.2","0.3","2.0","0.0","0.0","7.0"
"","high","5.5","59.3","0.3","0.3","3.6","0.0","0.0","7.8"
"","low","4.7","47.4","0.1","0.2","1.1","0.0","0.1","6.6"
"Michael Pittman Jr.","IND","4.2","53.1","0.3","0.2","1.3","0.0","0.0","7.0"
"","high","5.5","64.4","0.3","0.3","2.0","0.0","0.0","7.2"
"","low","3.7","48.1","0.2","0.0","0.0","0.0","0.1","6.5"
"Breshad Perriman","NYJ","3.5","53.2","0.3","0.1","0.3","0.0","0.0","7.0"
"","high","3.7","61.7","0.4","0.2","0.5","0.0","0.0","8.7"
"","low","3.2","43.8","0.2","0.0","0.0","0.0","0.0","5.6"
"Marquise Brown","BAL","3.6","50.2","0.3","0.3","1.9","0.0","0.0","7.0"
"","high","4.4","60.5","0.3","1.0","8.0","0.0","0.0","7.4"
"","low","3.1","43.8","0.2","0.0","0.0","0.0","0.0","6.2"
"Denzel Mims","NYJ","4.2","56.9","0.2","0.1","0.6","0.0","0.0","6.9"
"","high","5.3","62.3","0.3","0.3","1.8","0.0","0.0","7.7"
"","low","3.5","50.3","0.1","0.0","0.0","0.0","0.1","6.5"
"Jerry Jeudy","DEN","3.9","54.9","0.2","0.0","0.0","0.0","0.0","6.9"
"","high","4.4","60.1","0.3","0.0","0.1","0.0","0.0","7.4"
"","low","3.6","48.2","0.2","0.0","0.0","0.0","0.0","6.4"
"Curtis Samuel","CAR","4.1","42.4","0.2","1.5","8.6","0.1","0.0","6.9"
"","high","4.3","43.8","0.4","2.0","11.1","0.1","0.0","8.3"
"","low","3.8","41.2","0.0","0.9","6.1","0.1","0.1","7.4"
"Jamison Crowder","NYJ","4.5","52.6","0.3","0.1","0.4","0.0","0.0","6.8"
"","high","5.3","63.6","0.4","0.2","1.0","0.0","0.0","7.6"
"","low","3.2","43.9","0.1","0.0","0.0","0.0","0.1","5.8"
"Michael Gallup","DAL","3.6","54.2","0.2","0.0","0.0","0.0","0.0","6.7"
"","high","4.0","63.6","0.3","0.0","0.1","0.0","0.0","7.3"
"","low","3.2","46.4","0.1","0.0","0.0","0.0","0.0","6.2"
"Jakobi Meyers","NE","4.8","56.9","0.2","0.1","0.2","0.0","0.0","6.6"
