"Player","Team","REC","YDS","TDS","FL","FPTS"
"","low","0.7","5.9","0.1","0.0","1.9"
"Vance McDonald","PIT","0.9","9.5","0.0","0.0","1.9"
"","high","1.3","14.1","0.0","0.0","1.4"
"","low","0.6","5.0","0.0","0.0","1.4"
"Daniel Helm","SF","0.6","6.6","0.1","0.0","1.9"
"","high","0.6","6.6","0.1","0.0","1.9"
"","low","0.6","6.6","0.1","0.0","1.9"
"Seth DeValve","ARI","0.9","10.3","0.0","0.0","1.9"
"","high","1.0","12.2","0.0","0.0","1.7"
"","low","0.7","8.3","0.0","0.0","1.7"
"Tyler Conklin","MIN","0.9","8.8","0.0","0.0","1.8"
"","high","1.3","11.9","0.0","0.0","1.5"
"","low","0.6","5.6","0.0","0.0","1.5"
"Derek Carrier","LV","0.6","6.0","0.1","0.0","1.8"
"","high","0.6","6.0","0.1","0.0","1.8"
"","low","0.6","6.0","0.1","0.0","1.8"
"Jason Croom","PHI","0.6","5.5","0.1","0.0","1.8"
"","high","0.6","5.5","0.1","0.0","1.8"
"","low","0.6","5.5","0.1","0.0","1.8"
"Demetrius Harris","CHI","0.7","6.5","0.1","0.0","1.7"
"","high","0.8","6.6","0.1","0.0","2.0"
"","low","0.6","6.3","0.0","0.0","2.0"
"Jordan Thomas","NE","0.6","4.4","0.1","0.0","1.6"
"","high","0.6","4.4","0.1","0.0","1.6"
"","low","0.6","4.4","0.1","0.0","1.6"
"Colby Parkinson","SEA","0.6","6.9","0.1","0.0","1.6"
"","high","0.7","7.8","0.1","0.0","2.0"
"","low","0.6","6.1","0.0","0.0","2.0"
"Deon Yelder","KC","0.8","8.4","0.0","0.0","1.6"
"","high","1.3","13.9","0.0","0.0","1.1"
"","low","0.3","3.0","0.0","0.0","1.1"
"Eric Tomlinson","BAL","0.7","7.6","0.0","0.0","1.5"
"","high","1.0","11.3","0.0","0.0","1.1"
"","low","0.5","3.8","0.0","0.0","1.1"
"Levine Toilolo","NYG","0.7","7.3","0.0","0.0","1.4"
"","high","0.7","8.3","0.0","0.0","1.3"
