"Player","Team","REC","YDS","TDS","ATT","YDS","TDS","FL","FPTS"
"","low","3.3","40.5","0.0","0.0","0.0","0.0","0.1","9.4"
"Christian Kirk","ARI","4.0","51.0","0.3","0.3","2.4","0.0","0.0","11.0"
"","high","5.2","63.8","0.7","0.4","4.0","0.0","0.0","14.7"
"","low","2.9","31.0","0.0","0.1","0.3","0.0","0.1","8.2"
"Henry Ruggs III","LV","3.5","49.6","0.4","0.4","2.2","0.0","0.0","10.9"
"","high","5.0","65.0","1.0","0.7","3.6","0.1","0.0","16.8"
"","low","2.8","37.8","0.1","0.2","0.9","0.0","0.1","9.2"
"CeeDee Lamb","DAL","4.2","54.3","0.2","0.6","3.0","0.0","0.1","10.8"
"","high","5.2","66.0","0.3","1.0","4.4","0.0","0.0","12.1"
"","low","3.5","45.6","0.0","0.3","1.6","0.0","0.1","8.9"
"Laviska Shenault Jr.","JAC","4.0","48.2","0.2","1.5","7.6","0.0","0.1","10.7"
"","high","5.2","62.0","0.3","2.6","11.4","0.1","0.0","12.1"
"","low","3.3","37.8","0.0","0.3","1.7","0.0","0.1","9.8"
"Danny Amendola","DET","4.3","53.9","0.2","0.0","0.1","0.0","0.0","10.6"
"","high","6.0","63.0","0.3","0.0","0.2","0.0","0.0","11.6"
"","low","3.2","42.4","0.0","0.0","0.0","0.0","0.1","9.7"
"Darnell Mooney","CHI","3.9","49.5","0.2","0.2","0.7","0.0","0.0","10.2"
"","high","4.6","58.7","0.4","0.3","1.4","0.0","0.0","11.2"
"","low","3.0","42.0","0.0","0.1","-0.1","0.0","0.1","8.6"
"Zach Pascal","IND","3.8","47.3","0.2","0.1","0.5","0.0","0.0","9.8"
"","high","5.0","55.1","0.4","0.2","1.3","0.0","0.0","11.3"
"","low","2.8","33.5","0.0","0.0","0.0","0.0","0.0","9.0"
"Antonio Brown","TB","3.4","43.1","0.3","0.1","0.4","0.0","0.0","9.6"
"","high","5.1","69.3","0.5","0.1","0.6","0.0","0.0","10.9"
"","low","1.4","19.0","0.0","0.1","0.2","0.0","0.0","6.5"
"Hunter Renfrow","LV","3.7","44.8","0.2","0.0","0.0","0.0","0.0","9.5"
"","high","4.2","51.6","0.4","0.0","0.1","0.0","0.0","10.6"
"","low","3.0","38.9","0.0","0.0","0.0","0.0","0.0","7.8"
"Mecole Hardman","KC","2.9","44.3","0.3","0.3","1.5","0.0","0.0","9.5"
"","high","3.4","53.1","0.6","0.3","2.3","0.0","0.0","11.1"
"","low","2.4","37.2","0.0","0.2","0.9","0.0","0.1","8.4"
"Anthony Miller","CHI","3.9","43.9","0.2","0.2","1.0","0.0","0.0","9.4"
"","high","5.0","52.2","0.3","0.3","1.8","0.0","0.0","10.2"
"","low","3.2","35.8","0.0","0.2","0.7","0.0","0.0","8.8"
