"Player","Team","REC","YDS","TDS","ATT","YDS","TDS","FL","FPTS"
"Kenny Golladay","DET","2.7","44.6","0.2","0.0","0.1","0.0","0.0","7.2"
"","high","3.7","58.9","0.4","0.0","0.2","0.0","0.0","9.6"
"","low","2.0","34.1","0.0","0.0","0.0","0.0","0.0","6.5"
"Russell Gage","ATL","3.9","39.7","0.2","0.1","0.2","0.0","0.0","7.1"
"","high","5.5","54.2","0.3","0.2","0.5","0.0","0.0","7.2"
"","low","3.3","34.5","0.0","0.0","0.0","0.0","0.1","6.8"
"Emmanuel Sanders","NO","3.3","41.0","0.2","0.1","0.3","0.0","0.0","7.0"
"","high","4.3","53.0","0.3","0.1","0.6","0.0","0.0","7.9"
"","low","2.4","29.5","0.0","0.0","0.0","0.0","0.0","5.7"
"Damiere Byrd","NE","3.5","43.9","0.1","0.1","0.6","0.0","0.0","7.0"
"","high","4.7","51.6","0.2","0.2","0.9","0.0","0.0","8.3"
"","low","3.0","38.3","0.0","0.0","0.0","0.0","0.1","6.2"
"KJ Hamler","DEN","3.3","39.4","0.2","0.7","3.2","0.0","0.0","6.9"
"","high","4.4","51.4","0.2","0.9","4.9","0.0","0.0","7.9"
"","low","2.7","31.0","0.0","0.2","1.4","0.0","0.0","6.3"
"Henry Ruggs III","LV","2.5","43.0","0.2","0.7","3.6","0.0","0.1","6.9"
"","high","3.2","63.5","0.2","0.9","5.1","0.0","0.0","7.2"
"","low","2.1","32.9","0.0","0.5","2.8","0.0","0.2","6.3"
"Keelan Cole Sr.","JAC","3.2","41.4","0.2","0.0","0.1","0.0","0.1","6.8"
"","high","3.7","55.0","0.3","0.1","0.2","0.0","0.0","7.5"
"","low","2.6","35.6","0.0","0.0","0.0","0.0","0.1","6.3"
"Golden Tate","NYG","3.5","40.7","0.2","0.1","0.5","0.0","0.0","6.8"
"","high","4.6","52.7","0.3","0.2","0.8","0.0","0.0","8.2"
"","low","2.9","29.9","0.0","0.0","0.0","0.0","0.0","6.0"
"Jakeem Grant","MIA","3.4","39.7","0.1","0.2","1.7","0.0","0.0","6.7"
"","high","4.2","48.4","0.2","0.4","3.9","0.0","0.0","7.9"
"","low","2.8","30.6","0.0","0.0","0.1","0.0","0.1","5.7"
"Marquez Valdes-Scantling","GB","2.3","39.7","0.2","0.2","1.2","0.0","0.0","6.3"
"","high","3.1","54.5","0.3","0.3","1.5","0.0","0.0","8.4"
"","low","1.2","21.0","0.0","0.2","0.9","0.0","0.1","4.7"
"Cordarrelle Patterson","CHI","2.1","18.3","0.1","4.9","23.1","0.1","0.0","6.3"
"","high","3.9","34.9","0.1","6.7","33.0","0.2","0.0","7.2"
"","low","1.2","11.3","0.0","2.4","12.4","0.1","0.1","5.7"
"Jalen Reagor","PHI","3.0","38.4","0.1","0.3","1.7","0.0","0.0","6.2"
"","high","4.8","57.0","0.2","0.5","2.8","0.0","0.0","6.5"
"","low","2.2","27.8","0.0","0.2","1.2","0.0","0.0","5.4"
"Danny Amendola","DET","3.0","36.0","0.1","0.0","0.2","0.0","0.0","5.9"
"","high","3.6","44.9","0.2","0.1","0.7","0.0","0.0","7.2"
"","low","2.0","24.4","0.0","0.0","0.0","0.0","0.0","4.9"
"Chad Hansen","HOU","2.8","37.8","0.1","0.1","0.6","0.0","0.1","5.9"
"","high","3.9","45.9","0.2","0.2","1.2","0.0","0.0","6.3"
"","low","2.0","28.7","0.0","0.0","0.0","0.0","0.1","5.1"
"Willie Snead IV","BAL","2.9","33.3","0.2","0.0","0.1","0.0","0.0","5.9"
"","high","3.4","39.4","0.3","0.0","0.2","0.0","0.0","6.7"
"","low","1.8","20.7","0.0","0.0","0.0","0.0","0.0","6.5"
"David Moore","SEA","2.3","32.4","0.2","0.3","1.9","0.0","0.0","5.8"
"","high","2.8","43.9","0.3","0.7","4.1","0.0","0.0","6.4"
"","low","1.9","26.5","0.1","0.0","0.0","0.0","0.0","5.0"
"A.J. Green","CIN","2.7","35.4","0.1","0.0","0.0","0.0","0.0","5.7"
"","high","3.2","44.0","0.2","0.0","0.2","0.0","0.0","6.3"
"","low","2.2","28.7","0.0","0.0","0.0","0.0","0.0","5.0"
"Keith Kirkwood","CAR","2.5","32.3","0.2","0.0","0.0","0.0","0.0","5.6"
"","high","2.5","32.3","0.2","0.0","0.0","0.0","0.0","5.5"
"","low","2.5","32.3","0.2","0.0","0.0","0.0","0.0","5.5"
"Mecole Hardman","KC","2.2","34.3","0.2","0.1","0.6","0.0","0.0","5.6"
"","high","2.8","48.1","0.3","0.2","1.2","0.0","0.0","7.6"
"","low","1.7","23.8","0.0","0.0","0.0","0.0","0.1","4.6"
"Zach Pascal","IND","2.6","32.9","0.2","0.1","0.5","0.0","0.0","5.5"
"","high","3.1","39.8","0.2","0.1","0.9","0.0","0.0","6.3"
"","low","1.9","25.1","0.0","0.0","0.0","0.0","0.0","4.7"
"Larry Fitzgerald","ARI","3.1","30.2","0.1","0.0","0.2","0.0","0.0","5.4"
"","high","3.7","37.2","0.2","0.0","0.8","0.0","0.0","6.6"
"","low","1.5","16.7","0.0","0.0","0.0","0.0","0.0","3.8"
"Demarcus Robinson","KC","2.6","31.8","0.2","0.0","0.0","0.0","0.0","5.4"
"","high","4.1","49.1","0.2","0.0","0.1","0.0","0.0","5.5"
"","low","2.0","23.6","0.1","0.0","0.0","0.0","0.1","4.8"
"Cam Sims","WAS","2.6","34.2","0.1","0.1","0.5","0.0","0.0","5.4"
"","high","4.2","49.3","0.2","0.2","1.3","0.0","0.0","6.0"
"","low","1.6","20.6","0.0","0.0","0.0","0.0","0.0","3.8"
"N'Keal Harry","NE","2.9","27.7","0.2","0.3","1.6","0.0","0.1","5.2"
"","high","3.9","34.4","0.3","0.5","3.2","0.0","0.0","5.6"
"","low","2.3","22.0","0.0","0.0","0.0","0.0","0.1","4.9"
"Collin Johnson","JAC","2.3","30.6","0.1","0.0","0.2","0.0","0.0","5.1"
"","high","3.3","45.5","0.2","0.1","0.7","0.0","0.0","5.3"
"","low","1.7","24.2","0.0","0.0","0.0","0.0","0.0","4.3"
"Dez Bryant","BAL","2.3","29.4","0.1","0.1","0.4","0.0","0.0","4.9"
"","high","2.8","38.3","0.2","0.2","0.9","0.0","0.0","5.3"
"","low","1.8","21.9","0.0","0.0","0.0","0.0","0.0","4.5"
"Tre'Quan Smith","NO","2.0","27.0","0.2","0.2","0.8","0.0","0.0","4.9"
"","high","3.0","40.6","0.3","0.4","2.4","0.0","0.0","5.2"
"","low","1.5","19.6","0.1","0.1","0.2","0.0","0.0","3.9"
"Alshon Jeffery","PHI","2.2","30.5","0.1","0.0","0.1","0.0","0.0","4.9"
