"Player","Team","ATT","YDS","TDS","REC","YDS","TDS","FL","FPTS"
"Phillip Lindsay","DEN","9.1","38.5","0.1","0.9","5.2","0.0","0.0","5.1"
"","high","14.0","65.0","0.2","1.6","10.9","0.1","0.0","7.2"
"","low","5.3","22.1","0.0","0.0","0.0","0.0","0.1","4.0"
"Malcolm Brown","LAR","6.7","28.8","0.1","1.6","11.1","0.0","0.0","5.0"
"","high","11.4","48.5","0.3","2.2","13.8","0.1","0.0","6.0"
"","low","4.3","17.6","0.0","1.0","9.0","0.0","0.1","3.8"
"Jerick McKinnon","SF","5.8","22.2","0.1","2.3","17.3","0.1","0.0","4.9"
"","high","9.2","31.7","0.3","3.7","20.4","0.1","0.0","6.7"
"","low","2.9","12.4","0.0","1.7","14.0","0.0","0.1","3.5"
"Kalen Ballage","LAC","6.2","22.8","0.2","2.0","13.4","0.0","0.0","4.7"
"","high","7.7","28.8","0.3","2.9","21.1","0.1","0.0","6.7"
"","low","4.6","9.7","0.0","1.4","4.7","0.0","0.1","5.1"
"Mark Ingram II","BAL","6.7","28.1","0.2","1.1","8.2","0.0","0.1","4.7"
"","high","9.7","33.4","0.3","2.0","12.0","0.1","0.0","5.9"
"","low","4.2","20.5","0.0","0.5","4.1","0.0","0.1","3.8"
"Tony Pollard","DAL","7.4","32.4","0.1","1.3","7.8","0.0","0.1","4.7"
"","high","9.0","42.4","0.2","2.5","11.6","0.1","0.0","6.0"
"","low","5.1","22.0","0.0","0.0","0.0","0.0","0.1","3.1"
"Gus Edwards","BAL","7.8","33.9","0.1","0.5","3.1","0.0","0.1","4.5"
"","high","10.9","58.1","0.2","1.2","4.8","0.0","0.0","5.3"
"","low","4.7","21.3","0.0","0.0","0.0","0.0","0.1","3.1"
"Jordan Wilkins","IND","6.3","30.7","0.1","1.0","6.4","0.0","0.0","4.5"
"","high","7.2","46.5","0.2","1.7","9.3","0.0","0.0","5.3"
"","low","6.0","23.0","0.0","0.4","3.4","0.0","0.1","2.7"
"Adrian Peterson","DET","9.0","32.4","0.1","1.0","6.0","0.0","0.1","4.4"
"","high","14.0","47.0","0.2","2.0","8.4","0.0","0.0","5.4"
"","low","5.2","20.3","0.0","0.2","1.8","0.0","0.1","3.2"
"Tevin Coleman","SF","5.6","25.6","0.2","0.7","6.7","0.0","0.0","4.3"
"","high","5.7","30.8","0.2","0.9","9.0","0.0","0.0","5.5"
"","low","5.6","21.8","0.1","0.5","4.2","0.0","0.1","3.2"
"Cordarrelle Patterson","CHI","4.2","19.5","0.1","1.3","12.6","0.1","0.0","4.2"
"","high","4.2","19.5","0.1","1.3","12.6","0.1","0.0","4.2"
"","low","4.2","19.5","0.1","1.3","12.6","0.1","0.0","4.2"
"Salvon Ahmed","MIA","5.8","22.0","0.2","1.0","6.6","0.0","0.0","4.0"
"","high","8.9","36.7","0.4","1.5","11.9","0.1","0.0","6.6"
"","low","3.8","13.2","0.0","0.6","3.9","0.0","0.1","3.1"
"Matt Breida","MIA","6.8","25.8","0.1","1.2","8.8","0.0","0.1","3.9"
"","high","12.0","49.0","0.2","2.0","14.0","0.1","0.0","6.3"
"","low","1.0","4.6","0.0","0.5","4.1","0.0","0.1","1.1"
"Alexander Mattison","MIN","6.1","27.3","0.1","1.0","5.3","0.0","0.1","3.9"
"","high","8.7","40.4","0.2","2.5","7.5","0.1","0.0","4.7"
"","low","3.9","17.2","0.0","0.4","3.7","0.0","0.1","2.8"
"Kerryon Johnson","DET","5.5","22.1","0.0","2.0","13.0","0.0","0.1","3.9"
